"code","country","year","month","technology","value","group"
"CZ","Czech Republic","2020","2","Nuclear",2.287261,"Nuclear"
"CZ","Czech Republic","2020","2","Wind",0.11092,"Renewable"
"CZ","Czech Republic","2020","2","Solar",0.100912,"Renewable"
"CZ","Czech Republic","2020","2","Other Renewable",0.36988,"Renewable"
"CZ","Czech Republic","2020","2","Other",0.081729,"Fossil"
"CZ","Czech Republic","2020","3","Gas",0.459328,"Fossil"
"CZ","Czech Republic","2020","3","Coal",2.803356,"Fossil"
"CZ","Czech Republic","2020","3","Oil",0.015736,"Fossil"
"CZ","Czech Republic","2020","3","Hydro",0.161743,"Renewable"
"CZ","Czech Republic","2020","3","Nuclear",2.128961,"Nuclear"
"CZ","Czech Republic","2020","3","Wind",0.078648,"Renewable"
"CZ","Czech Republic","2020","3","Solar",0.223524,"Renewable"
"CZ","Czech Republic","2020","3","Other Renewable",0.397294,"Renewable"
"CZ","Czech Republic","2020","3","Other",0.086463,"Fossil"
"CZ","Czech Republic","2020","4","Gas",0.366976,"Fossil"
"CZ","Czech Republic","2020","4","Coal",2.047109,"Fossil"
"CZ","Czech Republic","2020","4","Oil",0.011563,"Fossil"
"CZ","Czech Republic","2020","4","Hydro",0.107214,"Renewable"
"CZ","Czech Republic","2020","4","Nuclear",1.757129,"Nuclear"
"CZ","Czech Republic","2020","4","Wind",0.047097,"Renewable"
"CZ","Czech Republic","2020","4","Solar",0.315311,"Renewable"
"CZ","Czech Republic","2020","4","Other Renewable",0.395132,"Renewable"
"CZ","Czech Republic","2020","4","Other",0.074229,"Fossil"
"CZ","Czech Republic","2020","5","Gas",0.399777,"Fossil"
"CZ","Czech Republic","2020","5","Coal",1.732327,"Fossil"
"CZ","Czech Republic","2020","5","Oil",0.006725,"Fossil"
"CZ","Czech Republic","2020","5","Hydro",0.072134,"Renewable"
"CZ","Czech Republic","2020","5","Nuclear",2.515322,"Nuclear"
"CZ","Czech Republic","2020","5","Wind",0.046374,"Renewable"
"CZ","Czech Republic","2020","5","Solar",0.272008,"Renewable"
"CZ","Czech Republic","2020","5","Other Renewable",0.39011,"Renewable"
"CZ","Czech Republic","2020","5","Other",0.07893,"Fossil"
"CZ","Czech Republic","2020","6","Gas",0.51259,"Fossil"
"CZ","Czech Republic","2020","6","Coal",1.875901,"Fossil"
"CZ","Czech Republic","2020","6","Oil",0.00392,"Fossil"
"CZ","Czech Republic","2020","6","Hydro",0.184216,"Renewable"
"CZ","Czech Republic","2020","6","Nuclear",2.342009,"Nuclear"
"CZ","Czech Republic","2020","6","Wind",0.038407,"Renewable"
"CZ","Czech Republic","2020","6","Solar",0.233956,"Renewable"
"CZ","Czech Republic","2020","6","Other Renewable",0.394477,"Renewable"
"CZ","Czech Republic","2020","6","Other",0.074845,"Fossil"
"CZ","Czech Republic","2020","7","Gas",0.580058,"Fossil"
"CZ","Czech Republic","2020","7","Coal",1.673395,"Fossil"
"CZ","Czech Republic","2020","7","Oil",0.00394,"Fossil"
"CZ","Czech Republic","2020","7","Hydro",0.181723,"Renewable"
"CZ","Czech Republic","2020","7","Nuclear",2.108216,"Nuclear"
"CZ","Czech Republic","2020","7","Wind",0.029651,"Renewable"
"CZ","Czech Republic","2020","7","Solar",0.282765,"Renewable"
"CZ","Czech Republic","2020","7","Other Renewable",0.388196,"Renewable"
"CZ","Czech Republic","2020","7","Other",0.074901,"Fossil"
"CZ","Czech Republic","2020","8","Gas",0.437299,"Fossil"
"CZ","Czech Republic","2020","8","Coal",2.082271,"Fossil"
"CZ","Czech Republic","2020","8","Oil",0.004738,"Fossil"
"CZ","Czech Republic","2020","8","Hydro",0.142402,"Renewable"
"CZ","Czech Republic","2020","8","Nuclear",2.613363,"Nuclear"
"CZ","Czech Republic","2020","8","Wind",0.034146,"Renewable"
"CZ","Czech Republic","2020","8","Solar",0.258469,"Renewable"
"CZ","Czech Republic","2020","8","Other Renewable",0.405665,"Renewable"
"CZ","Czech Republic","2020","8","Other",0.074379,"Fossil"
"CZ","Czech Republic","2020","9","Gas",0.101822,"Fossil"
"CZ","Czech Republic","2020","9","Coal",2.37558,"Fossil"
"CZ","Czech Republic","2020","9","Oil",0.006031,"Fossil"
"CZ","Czech Republic","2020","9","Hydro",0.117188,"Renewable"
"CZ","Czech Republic","2020","9","Nuclear",2.693019,"Nuclear"
"CZ","Czech Republic","2020","9","Wind",0.036111,"Renewable"
"CZ","Czech Republic","2020","9","Solar",0.222504,"Renewable"
"CZ","Czech Republic","2020","9","Other Renewable",0.437119,"Renewable"
"CZ","Czech Republic","2020","9","Other",0.071952,"Fossil"
"CZ","Czech Republic","2020","10","Gas",0.243244,"Fossil"
"CZ","Czech Republic","2020","10","Coal",2.774496,"Fossil"
"CZ","Czech Republic","2020","10","Oil",0.008622,"Fossil"
"CZ","Czech Republic","2020","10","Hydro",0.19195,"Renewable"
"CZ","Czech Republic","2020","10","Nuclear",2.567705,"Nuclear"
"CZ","Czech Republic","2020","10","Wind",0.065899,"Renewable"
"CZ","Czech Republic","2020","10","Solar",0.100651,"Renewable"
"CZ","Czech Republic","2020","10","Other Renewable",0.436875,"Renewable"
"CZ","Czech Republic","2020","10","Other",0.066787,"Fossil"
"CZ","Czech Republic","2020","11","Gas",0.554765,"Fossil"
"CZ","Czech Republic","2020","11","Coal",3.322112,"Fossil"
"CZ","Czech Republic","2020","11","Oil",0.011376,"Fossil"
"CZ","Czech Republic","2020","11","Hydro",0.205222,"Renewable"
"CZ","Czech Republic","2020","11","Nuclear",2.349102,"Nuclear"
"CZ","Czech Republic","2020","11","Wind",0.055371,"Renewable"
"CZ","Czech Republic","2020","11","Solar",0.056052,"Renewable"
"CZ","Czech Republic","2020","11","Other Renewable",0.452046,"Renewable"
"CZ","Czech Republic","2020","11","Other",0.061188,"Fossil"
"CZ","Czech Republic","2020","12","Gas",0.593515,"Fossil"
"CZ","Czech Republic","2020","12","Coal",3.118505,"Fossil"
"CZ","Czech Republic","2020","12","Oil",0.013784,"Fossil"
"CZ","Czech Republic","2020","12","Hydro",0.124244,"Renewable"
"CZ","Czech Republic","2020","12","Nuclear",2.568695,"Nuclear"
"CZ","Czech Republic","2020","12","Wind",0.075561,"Renewable"
"CZ","Czech Republic","2020","12","Solar",0.032095,"Renewable"
"CZ","Czech Republic","2020","12","Other Renewable",0.448751,"Renewable"
"CZ","Czech Republic","2020","12","Other",0.057075,"Fossil"
